,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2016.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,182577 ,504677 ,1091861 ,314810 ,503601 ,25 ,779 ,2598330 
부산,,96994 ,220592 ,442383 ,114218 ,167830 ,3 ,171 ,1042191 
대구,,83631 ,186382 ,388025 ,102547 ,165337 ,9 ,119 ,926050 
인천,,133751 ,244343 ,492553 ,130386 ,184976 ,11 ,90 ,1186110 
광주,,40646 ,103505 ,229736 ,56237 ,87319 ,2 ,105 ,517550 
대전,,58387 ,123288 ,225562 ,54196 ,72955 ,3 ,18 ,534409 
울산,,50866 ,95185 ,178683 ,54829 ,68169 ,1 ,30 ,447763 
세종,,11661 ,21894 ,37452 ,9735 ,10612 , - ,8 ,91362 
경기,,442013 ,910411 ,1693219 ,474209 ,614542 ,47 ,234 ,4134675 
강원,,78009 ,120155 ,211795 ,58912 ,69368 ,3 ,76 ,538318 
충북,,68241 ,130078 ,232188 ,61643 ,79973 ,3 ,21 ,572147 
충남,,86195 ,167196 ,303919 ,83861 ,111215 ,6 ,67 ,752459 
전북,,59329 ,138187 ,280696 ,69377 ,99160 ,2 ,18 ,646769 
전남,,62266 ,133262 ,286677 ,79194 ,107750 ,26 ,221 ,669396 
경북,,125476 ,211787 ,395997 ,105978 ,145892 ,4 ,100 ,985234 
경남,,168949 ,269991 ,508988 ,135052 ,186439 ,4 ,304 ,1269727 
제주,,42358 ,82672 ,136045 ,39265 ,63084 ,3 ,2317 ,365744 
합계,,1791349 ,3663605 ,7135779 ,1944449 ,2738222 ,152 ,4678 ,17278234 
