< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
총계,,,,,3177236 ,1460503 ,1210298 ,1672220 ,699627 ,692045 ,580822 ,183673 ,6187925 ,826552 ,890882 ,1174234 ,959559 ,1164295 ,1497479 ,1828658 ,655469 ,24861477 
,승용차합계,,,,2739979 ,1222806 ,1021422 ,1423784 ,585177 ,584070 ,492519 ,162028 ,5140733 ,634199 ,697806 ,902977 ,735015 ,870529 ,1122275 ,1475132 ,552551 ,20363002 
,,승용일반형 계,,,1911381 ,839471 ,718356 ,922077 ,400461 ,407945 ,325628 ,111006 ,3416854 ,408445 ,464797 ,598290 ,486407 ,557478 ,769996 ,1010674 ,338353 ,13687619 
,,,승용일반형 국산 소계,,1468918 ,672618 ,587788 ,757744 ,345501 ,358260 ,298436 ,94479 ,2874298 ,368381 ,416067 ,539706 ,430807 ,508397 ,704465 ,894677 ,311827 ,11632369 
,,,,승용일반형 국산 800CC미만,10294 ,5791 ,6135 ,6783 ,2215 ,3658 ,3083 ,665 ,25107 ,5422 ,4643 ,5798 ,4426 ,4815 ,11323 ,14709 ,3059 ,117926 
,,,,승용일반형 국산 1000CC미만,156025 ,91152 ,78361 ,130995 ,38476 ,54901 ,53172 ,16111 ,483276 ,80396 ,72183 ,91467 ,57200 ,68440 ,121861 ,165787 ,43269 ,1803072 
,,,,승용일반형 국산 1500CC미만,87760 ,35454 ,31621 ,40197 ,15212 ,20067 ,15145 ,4854 ,163401 ,20912 ,22635 ,29547 ,24316 ,25486 ,40566 ,49185 ,14195 ,640553 
,,,,승용일반형 국산 2000CC미만,775880 ,360464 ,306594 ,380276 ,189324 ,195074 ,144023 ,49736 ,1496939 ,183988 ,218019 ,277991 ,234210 ,261635 ,350522 ,436749 ,139097 ,6000521 
,,,,승용일반형 국산 2500CC미만,169566 ,76591 ,62928 ,88511 ,37291 ,34911 ,33188 ,11314 ,299987 ,32543 ,39668 ,52718 ,42959 ,57593 ,65256 ,93967 ,49108 ,1248099 
,,,,승용일반형 국산 3000CC미만,135408 ,48779 ,51839 ,54471 ,38455 ,29022 ,27006 ,6740 ,212179 ,25090 ,32737 ,45111 ,39302 ,49790 ,63270 ,68938 ,23462 ,951599 
,,,,승용일반형 국산 3500CC미만,88855 ,35532 ,31899 ,36156 ,16805 ,14045 ,15988 ,3391 ,130186 ,13412 ,17450 ,24714 ,18552 ,27139 ,34126 ,42810 ,18473 ,569533 
