도,시.군,읍면동,이하 주소,대수
전라북도,고창군,고수면,,5
전라북도,고창군,고창읍,,23
전라북도,고창군,공음면,,2
전라북도,고창군,무장면,,4
전라북도,고창군,부안면,,1
전라북도,고창군,성내면,,1
전라북도,고창군,성송면,,2
전라북도,고창군,신림면,,3
전라북도,고창군,심원면,,2
전라북도,고창군,아산면,,2
전라북도,고창군,흥덕면,,1
전라북도,군산시,개정동,,1
전라북도,군산시,개정면,,3
전라북도,군산시,경암동,,8
전라북도,군산시,경장동,,1
전라북도,군산시,구암동,,3
전라북도,군산시,금동,,2
전라북도,군산시,나운동,,17
전라북도,군산시,나포면,,2
전라북도,군산시,내초동,,1
전라북도,군산시,내흥동,,1
전라북도,군산시,대명동,,2
전라북도,군산시,대야면,,3
전라북도,군산시,동흥남동,,1
전라북도,군산시,문화동,,1
전라북도,군산시,미룡동,,8
전라북도,군산시,미원동,,1
전라북도,군산시,미장동,,9
전라북도,군산시,사정동,,3
전라북도,군산시,산북동,,4
전라북도,군산시,서수면,,3
전라북도,군산시,성산면,,6
전라북도,군산시,소룡동,,8
전라북도,군산시,수송동,,20
전라북도,군산시,신영동,,1
전라북도,군산시,신창동,,1
전라북도,군산시,오룡동,,2
전라북도,군산시,오식도동,,2
전라북도,군산시,옥구읍,,4
전라북도,군산시,옥도면,,2
전라북도,군산시,옥산면,,3
전라북도,군산시,옥서면,,3
전라북도,군산시,월명동,,1
전라북도,군산시,임피면,,2
전라북도,군산시,장미동,,1
전라북도,군산시,조촌동,,19
전라북도,군산시,지곡동,,8
전라북도,군산시,해망동,,2
전라북도,군산시,회현면,,5
전라북도,김제시,갈공동,,1
전라북도,김제시,검산동,,6
전라북도,김제시,광활면,,1
전라북도,김제시,금구면,,2
전라북도,김제시,난봉동,,1
전라북도,김제시,만경읍,,1
전라북도,김제시,명덕동,,1
전라북도,김제시,백산면,,5
전라북도,김제시,복죽동,,2
전라북도,김제시,봉남면,,2
전라북도,김제시,부량면,,1
전라북도,김제시,서암동,,8
전라북도,김제시,순동,,1
전라북도,김제시,신풍동,,7
전라북도,김제시,양전동,,1
전라북도,김제시,요촌동,,7
전라북도,김제시,용지면,,3
전라북도,김제시,장화동,,1
전라북도,김제시,죽산면,,1
전라북도,김제시,진봉면,,1
전라북도,김제시,하동,,2
전라북도,김제시,황산면,,2
전라북도,남원시,금동,,3
전라북도,남원시,금지면,,1
전라북도,남원시,노암동,,6
전라북도,남원시,대강면,,1
전라북도,남원시,대산면,,1
전라북도,남원시,도통동,,20
전라북도,남원시,동충동,,3
전라북도,남원시,보절면,,2
전라북도,남원시,산내면,,2
전라북도,남원시,산동면,,2
전라북도,남원시,송동면,,3
전라북도,남원시,수지면,,2
전라북도,남원시,신촌동,,2
전라북도,남원시,어현동,,2
전라북도,남원시,왕정동,,4
전라북도,남원시,운봉읍,,2
전라북도,남원시,월락동,,8
전라북도,남원시,이백면,,2
전라북도,남원시,조산동,,2
전라북도,남원시,주생면,,1
전라북도,남원시,주천면,,2
전라북도,남원시,죽항동,,2
전라북도,남원시,향교동,,7
전라북도,무주군,무주읍,,8
전라북도,무주군,무풍면,,1
전라북도,무주군,부남면,,1
전라북도,무주군,설천면,,5
전라북도,무주군,안성면,,6
전라북도,무주군,적상면,,5
전라북도,부안군,동진면,,2
전라북도,부안군,백산면,,2
전라북도,부안군,변산면,,5
전라북도,부안군,보안면,,2
전라북도,부안군,부안읍,,40
전라북도,부안군,상서면,,2
전라북도,부안군,위도면,,1
전라북도,부안군,줄포면,,3
전라북도,부안군,진서면,,2
전라북도,부안군,하서면,,2
전라북도,부안군,행안면,,2
전라북도,순창군,구림면,,1
전라북도,순창군,금과면,,3
전라북도,순창군,동계면,,2
전라북도,순창군,복흥면,,1
전라북도,순창군,순창읍,,12
전라북도,순창군,유등면,,1
전라북도,순창군,인계면,,2
전라북도,순창군,적성면,,6
전라북도,순창군,풍산면,,1
전라북도,완주군,경천면,,2
전라북도,완주군,고산면,,11
전라북도,완주군,구이면,,15
전라북도,완주군,동상면,,1
전라북도,완주군,봉동읍,,28
전라북도,완주군,비봉면,,8
전라북도,완주군,삼례읍,,12
전라북도,완주군,상관면,,3
전라북도,완주군,소양면,,5
전라북도,완주군,용진읍,,9
전라북도,완주군,운주면,,7
전라북도,완주군,이서면,,24
전라북도,완주군,화산면,,7
전라북도,익산시,금마면,,4
전라북도,익산시,남중동,,15
전라북도,익산시,낭산면,,5
전라북도,익산시,동산동,,9
전라북도,익산시,마동,,2
전라북도,익산시,만석동,,1
전라북도,익산시,망성면,,5
전라북도,익산시,모현동1가,,19
전라북도,익산시,모현동2가,,3
전라북도,익산시,부송동,,17
전라북도,익산시,삼기면,,5
전라북도,익산시,성당면,,5
전라북도,익산시,송학동,,6
전라북도,익산시,신동,,5
전라북도,익산시,신흥동,,1
전라북도,익산시,어양동,,21
전라북도,익산시,여산면,,6
전라북도,익산시,영등동,,29
전라북도,익산시,오산면,,10
전라북도,익산시,왕궁면,,4
전라북도,익산시,용동면,,2
전라북도,익산시,용안면,,3
전라북도,익산시,용제동,,1
전라북도,익산시,웅포면,,4
전라북도,익산시,인화동1가,,1
전라북도,익산시,인화동2가,,4
전라북도,익산시,임상동,,1
전라북도,익산시,주현동,,2
전라북도,익산시,창인동1가,,2
전라북도,익산시,춘포면,,8
전라북도,익산시,팔봉동,,6
전라북도,익산시,평화동,,6
전라북도,익산시,함라면,,3
전라북도,익산시,함열읍,,15
전라북도,익산시,현영동,,1
전라북도,익산시,황등면,,12
전라북도,임실군,관촌면,,1
전라북도,임실군,성수면,,1
전라북도,임실군,신평면,,3
전라북도,임실군,오수면,,2
전라북도,임실군,운암면,,4
전라북도,임실군,임실읍,,12
전라북도,임실군,지사면,,1
전라북도,장수군,계남면,,2
전라북도,장수군,계북면,,3
전라북도,장수군,번암면,,4
전라북도,장수군,장계면,,2
전라북도,장수군,장수읍,,9
전라북도,장수군,천천면,,3
전라북도,전주시,덕진구,고랑동,1
전라북도,전주시,덕진구,금암동,6
전라북도,전주시,덕진구,덕진동1가,6
전라북도,전주시,덕진구,덕진동2가,7
전라북도,전주시,덕진구,동산동,3
전라북도,전주시,덕진구,만성동,17
전라북도,전주시,덕진구,반월동,4
전라북도,전주시,덕진구,산정동,2
전라북도,전주시,덕진구,성덕동,1
전라북도,전주시,덕진구,송천동1가,15
전라북도,전주시,덕진구,송천동2가,40
전라북도,전주시,덕진구,여의동,5
전라북도,전주시,덕진구,용정동,2
전라북도,전주시,덕진구,우아동1가,2
전라북도,전주시,덕진구,우아동2가,4
전라북도,전주시,덕진구,우아동3가,6
전라북도,전주시,덕진구,원동,2
전라북도,전주시,덕진구,인후동1가,24
전라북도,전주시,덕진구,인후동2가,16
전라북도,전주시,덕진구,장동,10
전라북도,전주시,덕진구,중동,11
전라북도,전주시,덕진구,진북동,25
전라북도,전주시,덕진구,팔복동2가,3
전라북도,전주시,덕진구,호성동1가,14
전라북도,전주시,덕진구,호성동2가,1
전라북도,전주시,덕진구,호성동3가,1
전라북도,전주시,덕진구,화전동,1
전라북도,전주시,완산구,경원동1가,1
전라북도,전주시,완산구,고사동,1
전라북도,전주시,완산구,교동,2
전라북도,전주시,완산구,남노송동,4
전라북도,전주시,완산구,대성동,1
전라북도,전주시,완산구,동완산동,1
전라북도,전주시,완산구,삼천동1가,16
전라북도,전주시,완산구,삼천동3가,1
전라북도,전주시,완산구,서노송동,19
전라북도,전주시,완산구,서서학동,4
전라북도,전주시,완산구,서신동,20
전라북도,전주시,완산구,서완산동1가,1
전라북도,전주시,완산구,서완산동2가,2
전라북도,전주시,완산구,석구동,1
전라북도,전주시,완산구,용복동,1
전라북도,전주시,완산구,원당동,1
전라북도,전주시,완산구,전동,3
전라북도,전주시,완산구,중노송동,2
전라북도,전주시,완산구,중인동,1
전라북도,전주시,완산구,중화산동1가,13
전라북도,전주시,완산구,중화산동2가,13
전라북도,전주시,완산구,태평동,9
전라북도,전주시,완산구,평화동1가,3
전라북도,전주시,완산구,평화동2가,9
전라북도,전주시,완산구,풍남동1가,1
전라북도,전주시,완산구,효자동1가,19
전라북도,전주시,완산구,효자동2가,18
전라북도,전주시,완산구,효자동3가,39
전라북도,정읍시,감곡면,,2
전라북도,정읍시,고부면,,1
전라북도,정읍시,공평동,,1
전라북도,정읍시,과교동,,1
전라북도,정읍시,구룡동,,1
전라북도,정읍시,금붕동,,2
전라북도,정읍시,내장동,,2
전라북도,정읍시,농소동,,2
전라북도,정읍시,덕천면,,2
전라북도,정읍시,망제동,,1
전라북도,정읍시,부전동,,1
전라북도,정읍시,북면,,4
전라북도,정읍시,산외면,,1
전라북도,정읍시,상동,,16
전라북도,정읍시,상평동,,1
전라북도,정읍시,소성면,,3
전라북도,정읍시,송산동,,1
전라북도,정읍시,수성동,,37
전라북도,정읍시,시기동,,12
전라북도,정읍시,신정동,,1
전라북도,정읍시,신태인읍,,3
전라북도,정읍시,연지동,,11
전라북도,정읍시,영원면,,4
전라북도,정읍시,영파동,,2
전라북도,정읍시,옹동면,,2
전라북도,정읍시,이평면,,2
전라북도,정읍시,입암면,,2
전라북도,정읍시,정우면,,4
전라북도,정읍시,칠보면,,5
